rec_id,noise_rec,snr_target_db,fs_target,snr_in_db,snr_out_db,snr_improve_db,rmse,nrmse_std,prd_percent,z_snr_out_db,z_snr_improve_db,z_rmse,z_nrmse_std,z_prd_percent,zref_offset,n_samples_eval
100,bw,0,250.0,-1.2372996425281514e-10,7.097803979659148,7.097803979782879,0.07676261457819274,0.4416821019989418,44.16821020014541,7.097803981387551,7.097803981511281,0.07676261498753832,0.4416821019110517,44.16821019135638,-0.357984259724617,7500
100,bw,5,250.0,4.999999999565373,7.283303765259614,2.2833037656942405,0.07514061916241709,0.4323493513024073,43.23493513048664,7.283303778583514,2.2833037790181407,0.07514061946280189,0.4323493506391961,43.2349350641655,-0.357984259724617,7500
100,bw,10,250.0,9.999999998582233,7.3617194941854835,-2.638280504396749,0.07446530675664687,0.42846369153787806,42.84636915403151,7.361719556645697,-2.6382804419365353,0.07446530663307975,0.4284636884567966,42.84636884592335,-0.357984259724617,7500
100,bw,15,250.0,14.999999995473267,7.352723058688618,-7.64727693678465,0.07454247437146289,0.4289077039585788,42.890770396101814,7.352723087642202,-7.647276907831065,0.07454247453532226,0.4289077025288559,42.89077025312953,-0.357984259724617,7500
101,bw,0,250.0,-8.819160412705978e-11,4.734061999261824,4.734061999350016,0.11614160377877443,0.5798249510772303,57.98249510800918,4.734062008793348,4.73406200888154,0.11614160357289534,0.5798249504409553,57.98249504438165,-0.31202685832977295,7500
101,bw,5,250.0,4.999999999677756,4.729671297145325,-0.27032870253243146,0.1162003279988871,0.5801181256757035,58.011812567856644,4.729671298187976,-0.27032870148978017,0.11620032790646853,0.5801181256060665,58.01181256089291,-0.31202685832977295,7500
101,bw,10,250.0,9.999999998937616,4.747464581139701,-5.252535417797915,0.11596253207756439,0.5789309541199367,57.89309541227938,4.747464589660671,-5.252535409276945,0.11596253188549431,0.578930953551998,57.89309535548547,-0.31202685832977295,7500
101,bw,15,250.0,14.999999996597088,4.772628208744495,-10.227371787852594,0.1156270667085396,0.577256177942802,57.72561779456509,4.7726282176964,-10.22737177890069,0.11562706651128853,0.5772561773478668,57.72561773507152,-0.31202685832977295,7500
102,bw,0,250.0,-1.1783069097601134e-10,3.286158572138116,3.2861585722559465,0.12157038069128204,0.6850023657265618,68.50023657303771,3.2861585736744265,3.286158573792257,0.1215703803030098,0.6850023656054025,68.50023656092176,-0.2764008492231369,7500
102,bw,5,250.0,4.999999999584026,3.323702662799792,-1.6762973367842342,0.1210460360964179,0.6820478854831382,68.20478854869368,3.323702642856594,-1.676297356727432,0.12104603600915743,0.6820478870491511,68.20478870529499,-0.2764008492231369,7500
