noise_rec,snr_target_db,count,snr_in_mean,snr_in_std,snr_out_mean,snr_out_std,snr_improve_mean,snr_improve_std,rmse_mean,rmse_std,nrmse_std_mean,nrmse_std_std,prd_mean,prd_std
bw,0,48,-4.8359686453154886e-11,7.188727363954231e-11,2.198858076651756,1.4935654262697924,2.1988580767001156,1.493565426264149,0.2686724862171248,0.1365684693502287,0.7875517326958957,0.13478033663446068,78.75517326986946,13.478033663499383
bw,5,48,4.9999999998037135,2.2732788643129764e-10,2.140025065273195,1.5115137126207083,-2.8599749345305194,1.5115137126032765,0.27024847060152696,0.13628733033899765,0.7931794215678952,0.13729644635017169,79.31794215707153,13.729644635072162
bw,10,48,9.99999999933593,7.188736815534375e-10,2.113124330091338,1.5083703746353803,-7.886875669244592,1.508370374581099,0.2710465857622005,0.1364914764490821,0.7955766330205184,0.13714498392087088,79.55766330233466,13.714498392141707
bw,15,48,14.999999997856667,2.2732784147646426e-09,2.1044068132744655,1.5049115536206699,-12.895593184582202,1.5049115534523625,0.27131673427854613,0.13661886285632396,0.7963236929512721,0.13697798212591294,79.63236929541027,13.697798212645676
