snr_target_db,output_snr_mean,output_snr_std,nrmse_mean,nrmse_std
0,16.2380809,5.792180891063804,0.19695300000000002,0.15290679400602183
5,18.002549199999997,5.457696084897377,0.1570455,0.11726658273459664
10,20.005330100000002,5.531389815769386,0.1251604,0.09312961705193466
20,23.6370832,5.236742277178547,0.0806839,0.05770790011852797
