Method,0,5,10,15
improved_dae,-0.2543176899417258,-0.952441072287631,-2.604924072943841,-5.585755793165496
our_algorithm,3.014858214844705,-2.002154888440111,-6.976706065230846,-11.976984615916901
wt_only,-0.008186499295852738,-0.033190942428191136,-0.11019035286647245,-0.34022183921502264
