rec_id,noise_rec,snr_target_db,fs_target,snr_in_db,snr_out_db,snr_improve_db,rmse,nrmse_std,prd_percent,n_samples_eval
100,bw,0,250.0,-1.2372996425281514e-10,7.097803979659148,7.097803979782879,0.07676261457819274,0.4416821019989418,44.16821020014541,7500
100,bw,5,250.0,4.999999999565373,7.283303765259614,2.2833037656942405,0.07514061916241709,0.4323493513024073,43.23493513048664,7500
100,bw,10,250.0,9.999999998582233,7.3617194941854835,-2.638280504396749,0.07446530675664687,0.42846369153787806,42.84636915403151,7500
100,bw,15,250.0,14.999999995473267,7.352723058688618,-7.64727693678465,0.07454247437146289,0.4289077039585788,42.890770396101814,7500
101,bw,0,250.0,-8.819160412705978e-11,4.734061999261824,4.734061999350016,0.11614160377877443,0.5798249510772303,57.98249510800918,7500
101,bw,5,250.0,4.999999999677756,4.729671297145325,-0.27032870253243146,0.1162003279988871,0.5801181256757035,58.011812567856644,7500
101,bw,10,250.0,9.999999998937616,4.747464581139701,-5.252535417797915,0.11596253207756439,0.5789309541199367,57.89309541227938,7500
101,bw,15,250.0,14.999999996597088,4.772628208744495,-10.227371787852594,0.1156270667085396,0.577256177942802,57.72561779456509,7500
102,bw,0,250.0,-1.1783069097601134e-10,3.286158572138116,3.2861585722559465,0.12157038069128204,0.6850023657265618,68.50023657303771,7500
102,bw,5,250.0,4.999999999584026,3.323702662799792,-1.6762973367842342,0.1210460360964179,0.6820478854831382,68.20478854869368,7500
102,bw,10,250.0,9.999999998641215,3.349940235758411,-6.650059762882804,0.12068094255502507,0.6799907237127835,67.99907237165708,7500
102,bw,15,250.0,14.999999995659785,3.3528725964966406,-11.647127399163145,0.12064020748420942,0.6797611972465663,67.97611972503522,7500
103,bw,0,250.0,-2.29018130032344e-11,6.447720026105244,6.447720026128145,0.15135731232489205,0.4760077226534643,47.6007722654944,7500
103,bw,5,250.0,4.999999999884221,6.545287842632702,1.5452878427484817,0.14966664260594884,0.4706906895328849,47.069068953434815,7500
103,bw,10,250.0,9.99999999959051,6.579505630064336,-3.4204943695261747,0.14907819544792525,0.46884006608238743,46.88400660838449,7500
103,bw,15,250.0,14.999999998661725,6.585393856374674,-8.41460614228705,0.14897716852713225,0.468522343775122,46.85223437765784,7500
104,bw,0,250.0,-3.182039557770867e-11,1.7657095362237751,1.7657095362555955,0.23612344666270543,0.8160457798407292,81.6045779843517,7500
104,bw,5,250.0,4.9999999998560165,1.9318584971460186,-3.068141502709998,0.23164965934778065,0.8005843112324702,80.0584311235205,7500
104,bw,10,250.0,9.99999999950133,1.9543216794203422,-8.045678320080988,0.2310513480803885,0.7985165395152295,79.85165395179575,7500
104,bw,15,250.0,14.999999998379707,1.9723139344414362,-13.02768606393827,0.23057323561234003,0.796864176451101,79.6864176453823,7500
105,bw,0,250.0,-2.6243207674860448e-11,4.109310907769756,4.109310907795999,0.19083343099752012,0.6230665762419784,62.30665762439893,7500
105,bw,5,250.0,4.999999999873652,4.261313929425926,-0.7386860704477263,0.18752289862417357,0.6122577674257386,61.22577674277145,7500
105,bw,10,250.0,9.99999999955709,4.224340875260159,-5.775659124296931,0.18832282493524707,0.614869507650086,61.486950765207034,7500
105,bw,15,250.0,14.999999998556042,4.270779821581448,-10.729220176974593,0.18731864727827235,0.6115908916790822,61.159089168105595,7500
106,bw,0,250.0,-8.581067961132903e-12,5.73682085063715,5.7368208506457306,0.20119226183392952,0.516605419014029,51.660541901533996,7500
