rec_id,noise_rec,snr_target_db,fs_target,snr_in_db,snr_out_db,snr_improve_db,rmse,nrmse_std,prd_percent,n_samples_eval
100,bw,0,250.0,-1.2372996425281514e-10,3.0120061056912366,3.0120061058149665,0.1228682442418112,0.7069678994631272,70.69678994671482,7500
100,bw,5,250.0,4.999999999565373,2.929341603144487,-2.0706583964208862,0.1240431760290855,0.7137283041778478,71.3728304181907,7500
100,bw,10,250.0,9.999999998582233,2.9098282167756033,-7.09017178180663,0.12432215992855297,0.7153335412560499,71.53335412601183,7500
100,bw,15,250.0,14.999999995473267,2.9144834699114517,-12.085516525561815,0.12425554659541199,0.7149502567996184,71.49502568036849,7500
101,bw,0,250.0,-8.819160412705978e-11,2.654699843381687,2.6546998434698788,0.14755567822279264,0.7366564704037111,73.66564704073467,7500
101,bw,5,250.0,4.999999999677756,2.5387989701335067,-2.4612010295442497,0.14953779424266755,0.7465519797376661,74.65519797413504,7500
101,bw,10,250.0,9.999999998937616,2.474439838729448,-7.525560160208168,0.15064992745185382,0.7521041898211094,75.21041898248211,7500
101,bw,15,250.0,14.999999996597088,2.4711155260932274,-12.528884470503861,0.15070759607608486,0.7523920944662627,75.23920944699758,7500
102,bw,0,250.0,-1.1783069097601134e-10,0.791525475029969,0.7915254751477997,0.16201656921862906,0.9129010912904116,91.29010912954959,7500
102,bw,5,250.0,4.999999999584026,0.759862852577169,-4.240137147006857,0.16260824502727614,0.9162349570425938,91.62349570476971,7500
102,bw,10,250.0,9.999999998641215,0.757822917804466,-9.242177080836749,0.16264643906177811,0.9164501657459123,91.64501657510165,7500
102,bw,15,250.0,14.999999995659785,0.749163176446146,-14.250836819213639,0.16280867672599897,0.9173643126225552,91.73643126276646,7500
103,bw,0,250.0,-2.29018130032344e-11,4.503646487005014,4.503646487027916,0.18932461583270313,0.5954121267119382,59.54121267137891,7500
103,bw,5,250.0,4.999999999884221,4.413965380570253,-0.5860346193139678,0.19128950334133546,0.601591554807534,60.159155480940406,7500
103,bw,10,250.0,9.99999999959051,4.3850552094257145,-5.614944790164796,0.19192725331597682,0.6035972320251614,60.35972320270376,7500
103,bw,15,250.0,14.999999998661725,4.3775667417839434,-10.62243325687778,0.19209279315320474,0.6041178427556039,60.41178427574818,7500
104,bw,0,250.0,-3.182039557770867e-11,1.5069494699139232,1.5069494699457435,0.2432635931529265,0.8407222213087074,84.07222213115794,7500
104,bw,5,250.0,4.9999999998560165,1.5602133174144734,-3.439786682441543,0.24177641009609743,0.8355824968360691,83.55824968389236,7500
104,bw,10,250.0,9.99999999950133,1.5680257582488897,-8.43197424125244,0.24155904437168407,0.8348312779944141,83.4831277997266,7500
104,bw,15,250.0,14.999999998379707,1.55765859157738,-13.442341406802328,0.2418475327228377,0.8358282975823436,83.58282975851989,7500
105,bw,0,250.0,-2.6243207674860448e-11,2.73557033278913,2.735570332815373,0.22353291793207597,0.7298296169874323,72.98296169897876,7500
105,bw,5,250.0,4.999999999873652,2.6871717709346985,-2.3128282289389537,0.2247819401482233,0.7339076445730455,73.39076445754137,7500
105,bw,10,250.0,9.99999999955709,2.6493710638612473,-7.350628935695843,0.2257623155192146,0.7371085466510647,73.71085466534436,7500
105,bw,15,250.0,14.999999998556042,2.6566640587252803,-12.343335939830762,0.2255728366695679,0.7364899027504518,73.64899027528287,7500
106,bw,0,250.0,-8.581067961132903e-12,4.123291673221926,4.123291673230507,0.24226335759729156,0.622064498020311,62.20644980218898,7500
106,bw,5,250.0,4.999999999929505,4.096096382354427,-0.9039036175750779,0.2430230664598947,0.6240152177533479,62.40152177549316,7500
106,bw,10,250.0,9.999999999733713,4.079474181856582,-5.920525817877132,0.24348858536989376,0.6252105400255212,62.5210540027108,7500
106,bw,15,250.0,14.999999999114571,4.054554881449402,-10.94544511766517,0.24418814264370792,0.6270068073136806,62.700680731527186,7500
107,bw,0,250.0,1.4089788613787223e-11,0.8979682677148151,0.8979682677007252,0.7696566092512777,0.9017820504196178,90.17820504206624,7500
107,bw,5,250.0,5.0000000000012,0.9333951559695579,-4.066604844031642,0.7665238261141669,0.8981114685433028,89.81114685443431,7500
107,bw,10,250.0,9.999999999960432,0.9282097421175035,-9.071790257842927,0.7669815719656914,0.8986477947277299,89.86477947287703,7500
